Date,FII_FUT,FII_OPT
23-09-2011,-446.78,367.76
26-09-2011,-113.18,-89.73
27-09-2011,1255.82,432.52
28-09-2011,-58.35,16.92
29-09-2011,-87.95,-308.26
03-10-2011,-471.06,-179.03
04-10-2011,-589.16,-271.01
05-10-2011,74.53,-137.75
07-10-2011,1581.59,-34.61
10-10-2011,357.9,77.33
11-10-2011,631.45,-179.45
12-10-2011,581.41,102.93
13-10-2011,231.15,-49.17
14-10-2011,83.47,8.91
17-10-2011,140.56,-305.58
18-10-2011,-229.42,-319.44
19-10-2011,276.49,104.97
20-10-2011,-609.92,-526.57
21-10-2011,485.73,-402.91
24-10-2011,917.2,22.53
25-10-2011,200.72,-31.07
28-10-2011,1218.41,472.88
31-10-2011,-233.82,-582.88
01-11-2011,-497.97,-368.21
02-11-2011,-266.69,-363.49
03-11-2011,-434.46,-65.15
04-11-2011,314.43,36.63
08-11-2011,256.5,-217.86
09-11-2011,535.29,-275.29
11-11-2011,-1323.92,-479.21
14-11-2011,521.6,-89.88
15-11-2011,-924.47,-142.42
16-11-2011,-827.57,-126.09
17-11-2011,-1076.01,200.15
18-11-2011,-648.15,-14.55
21-11-2011,169.21,297.61
22-11-2011,108.96,386.92
23-11-2011,-1288.36,806.61
25-11-2011,-232.27,51.96
28-11-2011,531.08,529.61
29-11-2011,245.47,266.01
30-11-2011,363.13,608.18
01-12-2011,1035.88,311.93
02-12-2011,631.25,-394.04
05-12-2011,-216.27,-283.41
07-12-2011,539.81,-230.07
08-12-2011,-1080.54,-313.4
09-12-2011,-1091.51,102.12
12-12-2011,-235.31,122.57
13-12-2011,-507.62,49.87
14-12-2011,-310.75,-23.11
15-12-2011,-697.97,-6.48
16-12-2011,611.15,-182.82
19-12-2011,-1006.8,-27.5
20-12-2011,290.81,-197.45
21-12-2011,1493.86,68.04
22-12-2011,298.19,-331.93
23-12-2011,78.96,-101.24
27-12-2011,317.32,-52.19
28-12-2011,181.62,-12.1
29-12-2011,-105.56,-132.26
30-12-2011,-109,-141.73
03-01-2012,765.93,373.42
04-01-2012,-148.96,52.46
05-01-2012,313.55,79.42
06-01-2012,-9.01,-5
09-01-2012,107.69,-387.58
10-01-2012,1054.36,93
11-01-2012,271.74,38.41
12-01-2012,-114.54,217.9
13-01-2012,395.85,328.39
17-01-2012,1046.75,264.58
18-01-2012,-370.34,-6.47
19-01-2012,1133.35,536.29
20-01-2012,538.79,380.15
23-01-2012,323.45,76.41
24-01-2012,184.64,521.19
25-01-2012,-14.64,196.45
27-01-2012,164.72,522.17
30-01-2012,-1154.94,-159.75
31-01-2012,382.55,-26.33
01-02-2012,-427.18,-339.73
02-02-2012,328.76,596.65
03-02-2012,107.41,262.39
06-02-2012,318.57,-61.02
07-02-2012,692.95,-107.63
08-02-2012,184.33,-564.31
09-02-2012,-57.55,-259.17
10-02-2012,-1366,-436.24
13-02-2012,38.48,-98.97
14-02-2012,190.93,-444.89
15-02-2012,-329.57,-946.17
17-02-2012,800.41,446.17
21-02-2012,-55.41,-351.19
22-02-2012,-346.98,-696.09
23-02-2012,137.13,-284.62
24-02-2012,338.01,-672.46
27-02-2012,-763.03,-654.44
28-02-2012,940.35,-492.05
29-02-2012,-156.9,-275.16
01-03-2012,-351.6,-519.83
02-03-2012,20.66,10.01
05-03-2012,132.49,-34.4
06-03-2012,-376.4,301.97
07-03-2012,-742.67,-183.41
09-03-2012,491.21,39.23
12-03-2012,-673.82,292.07
13-03-2012,-47.33,131.77
14-03-2012,870.17,-296.68
15-03-2012,-502.91,-264.74
16-03-2012,341.51,-229.14
19-03-2012,-327.18,-154.76
20-03-2012,-193.32,240.54
21-03-2012,-988.61,-63.7
22-03-2012,-391.05,210.14
26-03-2012,-1434.59,-159.74
27-03-2012,-555.85,673.02
28-03-2012,173.36,282.21
29-03-2012,-540.28,680.91
30-03-2012,192.11,-113.13
03-04-2012,541.1,125.29
04-04-2012,-168.37,-151.06
09-04-2012,-1091.98,-260.51
10-04-2012,-687.25,245.67
11-04-2012,-311.1,143.87
12-04-2012,192.66,13.3
13-04-2012,214.5,-104.75
16-04-2012,-333.58,101.86
17-04-2012,503.41,-43.65
18-04-2012,589.46,-297
19-04-2012,653.11,-371.46
20-04-2012,-102.69,-498.84
23-04-2012,-508.25,-177.32
24-04-2012,-32.83,138.79
25-04-2012,-314.83,218.53
26-04-2012,-348.47,60.69
27-04-2012,14.51,4.23
30-04-2012,274.64,75.45
02-05-2012,79.59,-125.36
03-05-2012,-237.16,-216.02
04-05-2012,-1038.13,-177.85
07-05-2012,-58.9,-590.71
08-05-2012,-75.66,-104.39
09-05-2012,145.19,-191.32
10-05-2012,-45.54,160.53
11-05-2012,-379.35,-49.05
14-05-2012,-327.06,278.7
15-05-2012,-66.53,89.97
16-05-2012,-756.01,91.97
17-05-2012,-245.68,370.34
18-05-2012,-19.85,264.23
21-05-2012,-546.8,79.45
22-05-2012,571.92,247.39
23-05-2012,-812.25,177.19
24-05-2012,-660.81,638.56
25-05-2012,-397.67,208.56
29-05-2012,216.41,326.69
30-05-2012,-254.57,283.85
31-05-2012,-1251.78,146.09
01-06-2012,-495.97,123.3
04-06-2012,-347.83,105.81
05-06-2012,285.52,279.12
06-06-2012,-40.27,578.28
07-06-2012,1131.51,641.11
08-06-2012,-162.89,274.83
11-06-2012,527.04,-42.17
12-06-2012,-3.5,-249.92
13-06-2012,1076.56,-50.32
14-06-2012,-92.03,-244.94
15-06-2012,197.47,-192.93
18-06-2012,189.45,-359.62
19-06-2012,-253.99,-10.69
20-06-2012,185.98,-7.5
21-06-2012,122.11,-96.32
22-06-2012,150.31,-343.43
25-06-2012,-72.48,-266.62
26-06-2012,800.44,-161.92
27-06-2012,635.7,36.8
28-06-2012,31.23,45.83
29-06-2012,1568.34,-841.37
02-07-2012,-41.97,-52.11
03-07-2012,415.95,-151.91
05-07-2012,124,-355
06-07-2012,-329.68,-186.64
09-07-2012,64.71,-308.4
10-07-2012,-207.36,90.7
11-07-2012,-150.52,30213.18
12-07-2012,-415.52,-479.76
13-07-2012,-39.3,-292.46
16-07-2012,56.85,-96.35
17-07-2012,129.35,-411.32
18-07-2012,-272.75,-270.18
19-07-2012,653.93,112.35
20-07-2012,-207.46,-131.74
23-07-2012,-488.14,-312.42
24-07-2012,-254.96,109.99
25-07-2012,-447.63,74.54
26-07-2012,-442.07,-79.09
27-07-2012,1450.95,135.94
30-07-2012,-28.85,911.97
31-07-2012,187.15,156.56
01-08-2012,-59.46,89.67
02-08-2012,-86.81,-141.4
03-08-2012,-347.69,-146.88
06-08-2012,381.26,614.86
07-08-2012,676.87,542.31
08-08-2012,709.97,159.05
09-08-2012,27.23,-330.99
10-08-2012,-21.28,-624.94
13-08-2012,-27.7,-441.59
14-08-2012,289.48,-427.63
16-08-2012,-14.15,-341.15
17-08-2012,279.34,-166.11
21-08-2012,264.15,18.94
22-08-2012,183.79,-214.22
23-08-2012,-3.75,-77.41
24-08-2012,146.79,-571.75
27-08-2012,383.43,-550.59
28-08-2012,433.65,-581.87
29-08-2012,-6.81,-579.35
30-08-2012,945.2,-531.29
31-08-2012,-741.39,-271.77
04-09-2012,-317.46,-406.91
05-09-2012,-387.41,-513.69
06-09-2012,-296.25,139.07
07-09-2012,20.35,19.52
