Date,INDEX_FUT_BUY,INDEX_FUT_SELL,INDEX_FUT_NET,STK_FUT_BUY,STK_FUT_SELL,STK_FUT_NET,INDEX_OPT_BUY,INDEX_OPT_SELL,INDEX_OPT_NET,STK_OPT_BUY,STK_OPT_SELL,STK_OPT_NET,OPEN_INT,OPEN_INT_AMT
10/3/2021,6545.58,4810.28,1735.3,551308.86,547266.97,4041.89,12165.57,13293.96,-1128.39,13215.98,13281.29,-65.31,1184597,103684.73
9/3/2021,5203.81,6062.18,-858.37,428834.21,428507.34,326.87,11503.45,11616.17,-112.72,11890.08,11957.84,-67.76,1169404,102156.64
8/3/2021,5714.59,5646.86,67.73,329777.64,329648.49,129.15,15545.3,15842.21,-296.91,16022,16202.26,-180.26,1167798,101789.36
5/3/2021,5496.63,7761.79,-2265.16,1200064.83,1186983.77,13081.06,14865.85,16353.62,-1487.77,12530.81,12660.91,-130.1,1168559,103170.79
4/3/2021,6062.49,4690.74,1371.75,495928.92,493885.96,2042.96,14808.17,14007.98,800.19,13597.22,13377.23,219.99,1168587,103963.81
3/3/2021,4761.58,6655.21,-1893.63,444989.84,446791.84,-1802,14442.51,12834.33,1608.18,11342.25,11215.18,127.07,1180669,102588.9
2/3/2021,6032.05,4533.89,1498.16,362337.46,362987.91,-650.45,13231.18,12219.24,1011.94,11169.67,10927.11,242.56,1185563,101570.81
1/3/2021,8984.03,12790.39,-3806.36,431940.94,428562,3378.94,22845.5,23545.47,-699.97,16351.2,16621.58,-270.38,1186017,100112.74
26/02/2021,10677.46,10295.47,381.99,917824.69,909360.24,8464.45,30498.39,32153.15,-1654.76,11832.42,11076.9,755.52,1146515,100218.38
25/02/2021,6551.45,6108.23,443.22,290922.47,292628.53,-1706.06,21262.09,21583.68,-321.59,8629.27,8483.38,145.89,1244756,107628.7
24/02/2021,7676.04,7835.75,-159.71,457424.96,454818.37,2606.59,47530.64,47272.02,258.62,20131.97,19556.76,575.21,1260179,107343.33
23/02/2021,7509.28,6759.82,749.46,397792.2,393428.17,4364.03,44843.37,44641.44,201.93,17911.58,17844.5,67.08,1252642,106278.21
22/02/2021,5943.63,5662.45,281.18,363449.64,359466.09,3983.55,23154.62,22835.28,319.34,23683.83,23471.56,212.27,1233348,106173.75
18/02/2021,4275.15,4457.46,-182.31,527632.49,527593.37,39.12,15705.36,16355.88,-650.52,16241.84,16337.78,-95.94,1230510,107967.2
17/02/2021,4517.47,5125.12,-607.65,490430.38,486718.36,3712.02,15906.51,16676.78,-770.27,19662.66,19611.85,50.81,1226327,108106.89
16/02/2021,4223.06,3700.14,522.92,268552.43,266965.5,1586.93,13817.35,13510.22,307.13,16319.73,16120.45,199.28,1229427,108261.29
15/02/2021,3410.24,4143.14,-732.9,262283.81,264738.19,-2454.38,14221.62,14199.75,21.87,16028.65,16167.56,-138.91,1218113,105652.59
12/2/2021,2582.67,2580.55,2.12,717531.44,714640.02,2891.42,12167.88,12452.76,-284.88,13643.2,13767.78,-124.58,1214996,105283.43
