Date,Open,High,Low,Close,Volume,VIX,Exchange,Crude
2016-06-28,8096.05,8146.35,8086.85,8127.85,175724000,17.725,67.715,47.85
2016-06-29,8173.1,8212.4,8157.65,8204.0,151500000,16.155,67.422,49.88
2016-06-30,8260.25,8308.15,8242.1,8287.75,288032000,16.29,67.504,48.33
2016-07-01,8313.05,8356.75,8308.65,8328.35,170582000,15.7375,67.19,48.99
2016-07-04,8376.75,8398.45,8364.7,8370.7,158956000,15.5775,67.265,48.65
2016-07-05,8379.3,8381.45,8319.95,8335.95,143254000,15.3625,67.434,46.6
2016-07-07,8342.0,8361.95,8317.7,8337.9,160327008,15.3075,67.495,45.14
2016-07-08,8350.0,8353.3,8287.55,8323.2,142160000,15.0825,67.139,45.41
2016-07-11,8413.35,8475.25,8407.05,8467.9,154400000,14.8475,67.138,44.76
2016-07-12,8502.6,8526.6,8479.2,8521.05,189340000,14.7825,66.975,46.8
2016-07-13,8540.45,8550.25,8493.55,8519.5,201492000,15.325,67.016,44.75
2016-07-14,8515.75,8571.4,8500.7,8565.0,158738000,15.61,66.843,45.68
2016-07-15,8565.45,8594.8,8510.05,8541.4,228599008,15.6375,67.141,45.95
2016-07-18,8564.05,8587.1,8494.35,8508.7,169400000,15.9875,67.137,45.24
2016-07-19,8514.3,8540.05,8476.7,8528.55,173051008,15.795,67.204,44.65
2016-07-20,8515.45,8569.9,8512.55,8565.85,165348992,15.99,67.163,44.94
2016-07-21,8582.7,8585.25,8503.45,8510.1,154576000,15.7125,67.153,44.75
2016-07-22,8519.65,8548.95,8489.8,8541.2,147620000,15.4975,67.154,44.19
2016-07-25,8519.95,8641.15,8517.2,8635.65,154631008,15.7175,67.412,43.13
2016-07-26,8633.75,8644.9,8577.15,8590.65,159563008,15.62,67.321,42.92
2016-07-27,8599.4,8665.0,8572.05,8615.8,189796000,15.4275,67.072,41.92
2016-07-28,8636.95,8674.7,8625.25,8666.3,240722000,15.1475,67.014,41.14
2016-07-29,8668.3,8670.35,8631.15,8638.5,161935008,14.9175,66.655,41.6
2016-08-01,8654.3,8711.3,8590.5,8636.55,194187008,15.18,66.764,40.06
2016-08-02,8647.45,8687.2,8611.4,8622.9,174556992,15.6925,66.682,39.51
2016-08-03,8635.2,8635.45,8529.6,8544.85,168032992,16.2375,66.767,40.83
