Date,NIFTY,VIX,DOW,SGXNIFTY,EXCHANGE,FII_FUT,FII_OPT,CRUDE,Volume,200EMA,100EMA,50EMA,20EMA,5EMA,upperband,lowerband,macd,RSI
2016-02-16,7048.25,23.04,16196.41,7054.1,68.474,1030.1,451.94,32.18,261.61,7907.1866558119955,7737.788009757455,7540.962066109422,7334.012226111926,7105.7598321679725,7679.927745812962,7011.737254187037,-145.19803997303188,32.00735974921041
2016-02-17,7108.45,21.8325,16453.83,7120.9,68.329,-213.07,111.84,34.5,268.02,7899.239027395955,7725.325870950377,7524.0008086149355,7312.530109339362,7106.656554778649,7675.938809021613,6982.791190978388,-145.09382695905242,36.00320115255652
2016-02-18,7191.75,21.485,16413.43,7190.85,68.542,442.52,690.9,34.28,254.33,7892.19933558107,7714.7600121196765,7510.97136513984,7301.027241783232,7135.021036519099,7665.152687452044,6969.242312547956,-136.71367343574548,41.15642033612366
2016-02-19,7210.75,20.915,16391.99,7212.45,68.545,-846.36,-33.48,33.01,198.21,7885.418745177279,7704.779615840079,7499.197978271611,7292.429409232448,7160.2640243460655,7663.310498233087,6961.229501766916,-127.07436599229186,42.29773786201485
2016-02-22,7234.55,21.02,16620.66,7240.7,68.533,-378.32,353.79,34.69,159.16,7878.942439255116,7695.468138298691,7488.819626182528,7286.917084543644,7185.02601623071,7662.532351932899,6957.782648067104,-116.17548561930289,43.76900392652483
2016-02-23,7109.55,23.8375,16431.78,7113.1,68.561,216.0,867.3,33.27,200.4,7871.2867930933735,7683.865798926439,7473.946307508703,7270.024981253773,7159.867344153807,7653.282237958477,6935.742762041523,-116.28404959352247,38.25236667269336
2016-02-24,7018.7,22.955,16484.99,7019.05,68.431,-491.26,350.68,34.41,205.9,7862.8033424158275,7670.694198947698,7456.093511135813,7246.089268753414,7112.811562769204,7645.359451468049,6901.9205485319535,-122.29122593123247,34.81753551415406
2016-02-25,6970.6,22.745,16697.29,6970.6,68.768,-2435.38,468.52,35.29,291.93,7853.92569721766,7656.830947483388,7437.054549914801,7219.852195538803,7065.407708512803,7636.253080840979,6864.311919159023,-129.4411079515894,33.121771300311195
2016-02-26,7029.75,21.865,16639.97,7055.15,68.737,734.48,667.74,35.1,213.14,7845.724944011514,7644.413502978766,7421.081822467162,7201.747224535107,7053.521805675202,7619.201803576655,6841.8731964233475,-128.84923650940073,37.17406360628191
2016-02-29,6987.05,20.1575,16516.5,7008.95,68.208,668.0,629.05,35.97,487.97,7837.1809147178665,7631.396403909879,7404.0609666841365,7181.299869817478,7031.364537116801,7572.406694552196,6831.018305447807,-130.32342000615517,35.501728485299026
